Player,Short Name,Player ID,Birthdate,Team,Team ID,Match,Match ID,Date,Competition,Competition ID,Season,Season ID,Competition Edition ID,Position,Position Group,Minutes,Minutes TIP,Minutes OTIP,Minutes 1,Minutes 1 TIP,Minutes 1 OTIP,Minutes 2,Minutes 2 TIP,Minutes 2 OTIP,Physical Check Passed,Distance,M/min,Running Distance,HSR Distance,HSR Count,Sprint Distance,Sprint Count,HI Distance,HI Count,PSV-99,Medium Acceleration Count,High Acceleration Count,Medium Deceleration Count,High Deceleration Count,Explosive Acceleration to HSR Count,Time to HSR,Time to HSR Post-COD,Explosive Acceleration to Sprint Count,Time to Sprint,Time to Sprint Post-COD,Change of Direction Count,Time to 505 - Around 90,Time to 505 - Around 180,Distance TIP,M/min TIP,Running Distance TIP,HSR Distance TIP,HSR Count TIP,Sprint Distance TIP,Sprint Count TIP,HI Distance TIP,HI Count TIP,Medium Acceleration Count TIP,High Acceleration Count TIP,Medium Deceleration Count TIP,High Deceleration Count TIP,Explosive Acceleration to HSR Count TIP,Explosive Acceleration to Sprint Count TIP,Change of Direction Count TIP,Distance OTIP,M/min OTIP,Running Distance OTIP,HSR Distance OTIP,HSR Count OTIP,Sprint Distance OTIP,Sprint Count OTIP,HI Distance OTIP,HI Count OTIP,Medium Acceleration Count OTIP,High Acceleration Count OTIP,Medium Deceleration Count OTIP,High Deceleration Count OTIP,Explosive Acceleration to HSR Count OTIP,Explosive Acceleration to Sprint Count OTIP,Change of Direction Count OTIP,Distance 1,M/min 1,Running Distance 1,HSR Distance 1,HSR Count 1,Sprint Distance 1,Sprint Count 1,HI Distance 1,HI Count 1,Medium Acceleration Count 1,High Acceleration Count 1,Medium Deceleration Count 1,High Deceleration Count 1,Explosive Acceleration to HSR Count 1,Explosive Acceleration to Sprint Count 1,Change of Direction Count 1,Distance 1 TIP,M/min 1 TIP,Running Distance 1 TIP,HSR Distance 1 TIP,HSR Count 1 TIP,Sprint Distance 1 TIP,Sprint Count 1 TIP,HI Distance 1 TIP,HI Count 1 TIP,Medium Acceleration Count 1 TIP,High Acceleration Count 1 TIP,Medium Deceleration Count 1 TIP,High Deceleration Count 1 TIP,Explosive Acceleration to HSR Count 1 TIP,Explosive Acceleration to Sprint Count 1 TIP,Change of Direction Count 1 TIP,Distance 1 OTIP,M/min 1 OTIP,Running Distance 1 OTIP,HSR Distance 1 OTIP,HSR Count 1 OTIP,Sprint Distance 1 OTIP,Sprint Count 1 OTIP,HI Distance 1 OTIP,HI Count 1 OTIP,Medium Acceleration Count 1 OTIP,High Acceleration Count 1 OTIP,Medium Deceleration Count 1 OTIP,High Deceleration Count 1 OTIP,Explosive Acceleration to HSR Count 1 OTIP,Explosive Acceleration to Sprint Count 1 OTIP,Change of Direction Count 1 OTIP,Distance 2,M/min 2,Running Distance 2,HSR Distance 2,HSR Count 2,Sprint Distance 2,Sprint Count 2,HI Distance 2,HI Count 2,Medium Acceleration Count 2,High Acceleration Count 2,Medium Deceleration Count 2,High Deceleration Count 2,Explosive Acceleration to HSR Count 2,Explosive Acceleration to Sprint Count 2,Change of Direction Count 2,Distance 2 TIP,M/min 2 TIP,Running Distance 2 TIP,HSR Distance 2 TIP,HSR Count 2 TIP,Sprint Distance 2 TIP,Sprint Count 2 TIP,HI Distance 2 TIP,HI Count 2 TIP,Medium Acceleration Count 2 TIP,High Acceleration Count 2 TIP,Medium Deceleration Count 2 TIP,High Deceleration Count 2 TIP,Explosive Acceleration to HSR Count 2 TIP,Explosive Acceleration to Sprint Count 2 TIP,Change of Direction Count 2 TIP,Distance 2 OTIP,M/min 2 OTIP,Running Distance 2 OTIP,HSR Distance 2 OTIP,HSR Count 2 OTIP,Sprint Distance 2 OTIP,Sprint Count 2 OTIP,HI Distance 2 OTIP,HI Count 2 OTIP,Medium Acceleration Count 2 OTIP,High Acceleration Count 2 OTIP,Medium Deceleration Count 2 OTIP,High Deceleration Count 2 OTIP,Explosive Acceleration to HSR Count 2 OTIP,Explosive Acceleration to Sprint Count 2 OTIP,Change of Direction Count 2 OTIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arata Yoshida,A. Yoshida,726052,2000-06-29,Nara Club,4094,Nara Club - Tokushima Vorti,2052894,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Back,Full Back,17.28,7.57,2.93,0.0,0.0,0.0,17.28,7.57,2.93,TRUE,2124.0,122.92,346.0,257.0,18.0,97.0,4.0,354.0,22.0,27.2,31.0,2.0,26.0,6.0,0.0,,,0.0,,,6.0,2.88,,1100.0,145.31,199.0,111.0,9.0,38.0,1.0,149.0,10.0,15.0,1.0,14.0,4.0,0.0,0.0,3.0,600.0,204.78,114.0,100.0,7.0,45.0,2.0,145.0,9.0,7.0,1.0,3.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.0,122.92,346.0,257.0,18.0,97.0,4.0,354.0,22.0,31.0,2.0,26.0,6.0,0.0,0.0,6.0,1100.0,145.31,199.0,111.0,9.0,38.0,1.0,149.0,10.0,15.0,1.0,14.0,4.0,0.0,0.0,3.0,600.0,204.78,114.0,100.0,7.0,45.0,2.0,145.0,9.0,7.0,1.0,3.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryo Sato,R. Sato,813872,1997-09-24,Nara Club,4094,Nara Club - Tokushima Vorti,2052894,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Winger,Wide Attacker,95.4,36.82,27.53,46.18,14.93,16.27,49.22,21.88,11.27,TRUE,10602.0,111.13,1791.0,720.0,70.0,111.0,8.0,831.0,78.0,27.4,127.0,10.0,111.0,21.0,6.0,0.85,0.85,0.0,,,48.0,2.28,3.75,4137.0,112.36,688.0,152.0,19.0,64.0,3.0,216.0,22.0,48.0,4.0,36.0,2.0,2.0,0.0,22.0,4290.0,155.83,995.0,538.0,45.0,46.0,3.0,584.0,48.0,50.0,1.0,43.0,8.0,1.0,0.0,24.0,5258.0,113.86,833.0,339.0,32.0,61.0,4.0,400.0,36.0,62.0,6.0,54.0,11.0,4.0,0.0,25.0,1723.0,115.41,254.0,53.0,7.0,34.0,2.0,87.0,9.0,22.0,2.0,14.0,2.0,1.0,0.0,11.0,2394.0,147.14,519.0,259.0,22.0,26.0,1.0,285.0,23.0,23.0,1.0,25.0,5.0,1.0,0.0,12.0,5344.0,108.57,958.0,381.0,38.0,50.0,4.0,431.0,42.0,65.0,4.0,57.0,10.0,1.0,0.0,23.0,2414.0,110.33,434.0,99.0,12.0,30.0,1.0,129.0,13.0,26.0,2.0,22.0,0.0,0.0,0.0,11.0,1896.0,168.23,476.0,279.0,23.0,20.0,2.0,299.0,25.0,27.0,0.0,18.0,3.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryosuke Tamura,R. Tamura,929028,1995-05-08,Nara Club,4094,Nara Club - Tokushima Vorti,2052894,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Winger,Wide Attacker,95.4,36.82,27.53,46.18,14.93,16.27,49.22,21.88,11.27,TRUE,11071.0,116.05,1960.0,766.0,66.0,122.0,8.0,888.0,74.0,27.4,140.0,8.0,123.0,16.0,7.0,0.55,0.94,1.0,1.76,2.44,43.0,2.25,2.77,4253.0,115.51,652.0,272.0,21.0,42.0,4.0,314.0,25.0,57.0,4.0,46.0,5.0,4.0,1.0,15.0,4426.0,160.77,1185.0,435.0,37.0,79.0,3.0,514.0,40.0,51.0,2.0,37.0,4.0,1.0,0.0,28.0,5650.0,122.35,1059.0,390.0,36.0,92.0,4.0,482.0,40.0,80.0,5.0,70.0,9.0,3.0,0.0,28.0,1792.0,120.03,274.0,116.0,11.0,28.0,2.0,144.0,13.0,25.0,2.0,22.0,2.0,2.0,0.0,8.0,2549.0,156.67,727.0,235.0,21.0,63.0,2.0,298.0,23.0,32.0,1.0,23.0,3.0,0.0,0.0,20.0,5421.0,110.14,901.0,376.0,30.0,30.0,4.0,406.0,34.0,60.0,3.0,53.0,7.0,3.0,1.0,15.0,2461.0,112.48,378.0,156.0,10.0,14.0,2.0,170.0,12.0,32.0,2.0,24.0,3.0,2.0,1.0,7.0,1877.0,166.55,458.0,200.0,16.0,16.0,1.0,216.0,17.0,19.0,1.0,14.0,1.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daisei Suzuki,D. Suzuki,929033,1996-05-28,Nara Club,4094,Nara Club - Tokushima Vorti,2052894,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Center Back,Central Defender,32.95,14.8,6.82,0.0,0.0,0.0,32.95,14.8,6.82,TRUE,4061.0,123.25,661.0,246.0,28.0,186.0,7.0,432.0,35.0,29.1,51.0,5.0,38.0,6.0,3.0,0.84,0.84,2.0,1.63,1.63,15.0,2.81,,1933.0,130.61,336.0,49.0,3.0,3.0,0.0,52.0,3.0,28.0,2.0,17.0,2.0,1.0,0.0,6.0,1325.0,194.28,274.0,172.0,21.0,151.0,6.0,323.0,27.0,16.0,1.0,10.0,2.0,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4061.0,123.25,661.0,246.0,28.0,186.0,7.0,432.0,35.0,51.0,5.0,38.0,6.0,3.0,2.0,15.0,1933.0,130.61,336.0,49.0,3.0,3.0,0.0,52.0,3.0,28.0,2.0,17.0,2.0,1.0,0.0,6.0,1325.0,194.28,274.0,172.0,21.0,151.0,6.0,323.0,27.0,16.0,1.0,10.0,2.0,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rin Morita,R. Morita,929036,2002-02-14,Nara Club,4094,Nara Club - Tokushima Vorti,2052894,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Defensive Midfield,Midfield,95.4,36.82,27.53,46.18,14.93,16.27,49.22,21.88,11.27,TRUE,12475.0,130.77,2044.0,596.0,51.0,211.0,9.0,807.0,60.0,29.0,94.0,4.0,101.0,14.0,3.0,0.74,0.74,2.0,1.96,1.96,32.0,2.05,3.04,5103.0,138.59,684.0,100.0,11.0,12.0,1.0,112.0,12.0,38.0,1.0,40.0,3.0,1.0,0.0,6.0,5046.0,183.29,1230.0,429.0,39.0,162.0,7.0,591.0,46.0,32.0,1.0,31.0,5.0,1.0,0.0,24.0,6215.0,134.58,1012.0,299.0,21.0,57.0,3.0,356.0,24.0,48.0,1.0,55.0,6.0,0.0,0.0,17.0,2123.0,142.2,326.0,31.0,3.0,5.0,0.0,36.0,3.0,14.0,0.0,15.0,1.0,0.0,0.0,3.0,2813.0,172.89,625.0,237.0,17.0,51.0,2.0,288.0,19.0,17.0,0.0,21.0,3.0,0.0,0.0,14.0,6260.0,127.18,1032.0,297.0,30.0,154.0,6.0,451.0,36.0,46.0,3.0,46.0,8.0,2.0,1.0,15.0,2980.0,136.2,358.0,69.0,8.0,7.0,1.0,76.0,9.0,24.0,1.0,25.0,2.0,1.0,0.0,3.0,2233.0,198.14,605.0,192.0,22.0,111.0,5.0,303.0,27.0,15.0,1.0,10.0,2.0,1.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kei Ikoma,K. Ikoma,929043,1997-11-21,Nara Club,4094,Nara Club - Tokushima Vorti,2052894,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Back,Full Back,95.4,36.82,27.53,46.18,14.93,16.27,49.22,21.88,11.27,TRUE,12117.0,127.01,2103.0,1005.0,91.0,363.0,21.0,1368.0,112.0,29.6,138.0,13.0,118.0,29.0,8.0,0.66,0.66,2.0,1.38,,74.0,1.93,2.68,5035.0,136.75,831.0,333.0,33.0,69.0,6.0,402.0,39.0,57.0,5.0,42.0,6.0,2.0,0.0,25.0,4781.0,173.67,1096.0,581.0,50.0,283.0,12.0,864.0,62.0,51.0,1.0,42.0,5.0,1.0,0.0,48.0,5745.0,124.4,887.0,404.0,37.0,151.0,10.0,555.0,47.0,70.0,5.0,59.0,15.0,4.0,1.0,34.0,1971.0,132.02,256.0,82.0,11.0,38.0,2.0,120.0,13.0,29.0,0.0,15.0,3.0,0.0,0.0,8.0,2615.0,160.73,558.0,281.0,22.0,112.0,5.0,393.0,27.0,26.0,1.0,27.0,4.0,1.0,0.0,25.0,6372.0,129.46,1216.0,601.0,54.0,212.0,11.0,813.0,65.0,68.0,8.0,59.0,14.0,4.0,0.0,40.0,3064.0,140.04,575.0,251.0,22.0,31.0,4.0,282.0,26.0,28.0,5.0,27.0,3.0,1.0,0.0,17.0,2166.0,192.19,538.0,300.0,28.0,171.0,7.0,471.0,35.0,25.0,0.0,15.0,1.0,0.0,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuta Togashi,Y. Togashi,929236,1995-12-18,Nara Club,4094,Nara Club - Tokushima Vorti,2052894,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Attacking Midfield,Midfield,21.07,9.5,3.68,0.0,0.0,0.0,21.07,9.5,3.68,TRUE,2542.0,120.65,611.0,165.0,11.0,34.0,1.0,199.0,12.0,25.3,27.0,2.0,25.0,3.0,2.0,0.75,0.75,0.0,,,19.0,2.62,,1324.0,139.37,312.0,61.0,3.0,4.0,0.0,65.0,3.0,19.0,1.0,13.0,2.0,0.0,0.0,12.0,676.0,183.7,214.0,64.0,7.0,5.0,0.0,69.0,7.0,5.0,0.0,4.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2542.0,120.65,611.0,165.0,11.0,34.0,1.0,199.0,12.0,27.0,2.0,25.0,3.0,2.0,0.0,19.0,1324.0,139.37,312.0,61.0,3.0,4.0,0.0,65.0,3.0,19.0,1.0,13.0,2.0,0.0,0.0,12.0,676.0,183.7,214.0,64.0,7.0,5.0,0.0,69.0,7.0,5.0,0.0,4.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sora Mochizuki,S. Mochizuki,929439,2001-04-03,Nara Club,4094,Nara Club - Tokushima Vorti,2052894,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Center Forward,Center Forward,32.95,14.8,6.82,0.0,0.0,0.0,32.95,14.8,6.82,TRUE,3971.0,120.52,609.0,300.0,22.0,10.0,1.0,310.0,23.0,25.5,35.0,4.0,36.0,6.0,2.0,1.01,,0.0,,,31.0,2.33,3.15,1985.0,134.12,307.0,105.0,10.0,3.0,0.0,108.0,10.0,18.0,3.0,18.0,3.0,1.0,0.0,19.0,1290.0,189.15,265.0,192.0,11.0,6.0,0.0,198.0,11.0,10.0,0.0,8.0,1.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3971.0,120.52,609.0,300.0,22.0,10.0,1.0,310.0,23.0,35.0,4.0,36.0,6.0,2.0,0.0,31.0,1985.0,134.12,307.0,105.0,10.0,3.0,0.0,108.0,10.0,18.0,3.0,18.0,3.0,1.0,0.0,19.0,1290.0,189.15,265.0,192.0,11.0,6.0,0.0,198.0,11.0,10.0,0.0,8.0,1.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiroto  Sato,H. Sato,999907,2002-12-24,Nara Club,4094,Nara Club - Tokushima Vorti,2052894,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Center Back,Central Defender,62.45,22.02,20.72,46.18,14.93,16.27,16.27,7.08,4.45,TRUE,7356.0,117.79,956.0,420.0,42.0,225.0,13.0,645.0,55.0,29.3,80.0,4.0,76.0,15.0,3.0,0.69,,3.0,1.75,,19.0,2.46,,2661.0,120.84,277.0,46.0,6.0,17.0,1.0,63.0,7.0,22.0,2.0,26.0,3.0,0.0,0.0,5.0,3289.0,158.74,578.0,325.0,29.0,175.0,7.0,500.0,36.0,41.0,2.0,33.0,6.0,1.0,1.0,11.0,5289.0,114.53,570.0,320.0,33.0,196.0,11.0,516.0,44.0,60.0,3.0,55.0,11.0,2.0,2.0,14.0,1722.0,115.34,121.0,27.0,4.0,17.0,1.0,44.0,5.0,12.0,1.0,13.0,1.0,0.0,0.0,3.0,2523.0,155.07,397.0,262.0,23.0,157.0,6.0,419.0,29.0,32.0,2.0,30.0,5.0,1.0,1.0,9.0,2067.0,127.04,386.0,100.0,9.0,29.0,2.0,129.0,11.0,20.0,1.0,21.0,4.0,0.0,0.0,5.0,939.0,132.63,156.0,19.0,2.0,0.0,0.0,19.0,2.0,10.0,1.0,13.0,2.0,0.0,0.0,2.0,766.0,172.13,181.0,63.0,6.0,18.0,1.0,81.0,7.0,9.0,0.0,3.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masato  Nakayama,M. Nakayama,999908,2001-12-09,Nara Club,4094,Nara Club - Tokushima Vorti,2052894,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Back,Full Back,78.12,29.23,24.6,46.18,14.93,16.27,31.93,14.3,8.33,TRUE,10135.0,129.74,1437.0,858.0,91.0,475.0,24.0,1333.0,115.0,29.7,126.0,7.0,98.0,31.0,2.0,1.03,1.03,0.0,,,40.0,1.91,2.8,4079.0,139.55,608.0,297.0,35.0,151.0,8.0,448.0,43.0,49.0,5.0,36.0,14.0,0.0,0.0,15.0,4217.0,171.42,766.0,497.0,48.0,288.0,13.0,785.0,61.0,48.0,2.0,30.0,7.0,1.0,0.0,20.0,6037.0,130.73,908.0,513.0,49.0,162.0,12.0,675.0,61.0,80.0,5.0,65.0,17.0,0.0,0.0,28.0,2134.0,142.93,335.0,152.0,15.0,46.0,4.0,198.0,19.0,26.0,4.0,24.0,8.0,0.0,0.0,8.0,2688.0,165.21,511.0,329.0,26.0,115.0,6.0,444.0,32.0,31.0,1.0,24.0,3.0,0.0,0.0,16.0,4098.0,128.34,529.0,345.0,42.0,313.0,12.0,658.0,54.0,46.0,2.0,33.0,14.0,2.0,0.0,12.0,1945.0,136.01,273.0,145.0,20.0,105.0,4.0,250.0,24.0,23.0,1.0,12.0,6.0,0.0,0.0,7.0,1529.0,183.55,255.0,168.0,22.0,173.0,7.0,341.0,29.0,17.0,1.0,6.0,4.0,1.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riki  Tomizu,R. Tomizu,999909,2002-09-30,Nara Club,4094,Nara Club - Tokushima Vorti,2052894,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Defensive Midfield,Midfield,46.18,14.93,16.27,46.18,14.93,16.27,0.0,0.0,0.0,TRUE,5976.0,129.41,1071.0,351.0,29.0,121.0,5.0,472.0,34.0,29.5,80.0,3.0,64.0,11.0,0.0,,,0.0,,,26.0,2.83,3.06,2044.0,136.91,284.0,63.0,6.0,25.0,1.0,88.0,7.0,23.0,1.0,18.0,2.0,0.0,0.0,9.0,2848.0,175.05,734.0,259.0,21.0,85.0,4.0,344.0,25.0,38.0,0.0,24.0,3.0,0.0,0.0,15.0,5976.0,129.41,1071.0,351.0,29.0,121.0,5.0,472.0,34.0,80.0,3.0,64.0,11.0,0.0,0.0,26.0,2044.0,136.91,284.0,63.0,6.0,25.0,1.0,88.0,7.0,23.0,1.0,18.0,2.0,0.0,0.0,9.0,2848.0,175.05,734.0,259.0,21.0,85.0,4.0,344.0,25.0,38.0,0.0,24.0,3.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shota Tamura,S. Tamura,999910,1995-02-04,Nara Club,4094,Nara Club - Tokushima Vorti,2052894,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Center Forward,Center Forward,62.45,22.02,20.72,46.18,14.93,16.27,16.27,7.08,4.45,TRUE,7663.0,122.71,1045.0,531.0,52.0,145.0,10.0,676.0,62.0,29.8,71.0,7.0,58.0,20.0,6.0,0.61,,1.0,2.21,,52.0,1.97,2.83,2905.0,131.93,379.0,116.0,14.0,84.0,4.0,200.0,18.0,31.0,3.0,18.0,5.0,2.0,0.0,20.0,3334.0,160.91,617.0,380.0,30.0,56.0,3.0,436.0,33.0,28.0,1.0,24.0,6.0,1.0,1.0,29.0,5629.0,121.89,765.0,377.0,40.0,116.0,7.0,493.0,47.0,51.0,5.0,44.0,14.0,5.0,1.0,36.0,1945.0,130.27,257.0,62.0,9.0,68.0,3.0,130.0,12.0,19.0,2.0,14.0,3.0,2.0,0.0,13.0,2530.0,155.5,460.0,288.0,25.0,48.0,2.0,336.0,27.0,23.0,1.0,21.0,5.0,1.0,1.0,21.0,2034.0,125.02,280.0,154.0,12.0,29.0,3.0,183.0,15.0,20.0,2.0,14.0,6.0,1.0,0.0,16.0,960.0,135.59,122.0,54.0,5.0,16.0,1.0,70.0,6.0,12.0,1.0,4.0,2.0,0.0,0.0,7.0,804.0,180.67,157.0,92.0,5.0,8.0,1.0,100.0,6.0,5.0,0.0,3.0,1.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ren Shibamoto,R. Shibamoto,1052808,1999-07-22,Nara Club,4094,Nara Club - Tokushima Vorti,2052894,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Defensive Midfield,Midfield,49.22,21.88,11.27,0.0,0.0,0.0,49.22,21.88,11.27,TRUE,6176.0,125.48,1098.0,337.0,19.0,37.0,2.0,374.0,21.0,26.1,51.0,2.0,52.0,3.0,0.0,,,0.0,,,21.0,2.14,,2853.0,130.39,354.0,35.0,3.0,3.0,0.0,38.0,3.0,25.0,0.0,24.0,0.0,0.0,0.0,6.0,2196.0,194.85,686.0,279.0,15.0,19.0,1.0,298.0,16.0,17.0,1.0,15.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6176.0,125.48,1098.0,337.0,19.0,37.0,2.0,374.0,21.0,51.0,2.0,52.0,3.0,0.0,0.0,21.0,2853.0,130.39,354.0,35.0,3.0,3.0,0.0,38.0,3.0,25.0,0.0,24.0,0.0,0.0,0.0,6.0,2196.0,194.85,686.0,279.0,15.0,19.0,1.0,298.0,16.0,17.0,1.0,15.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takuma Goto,T. Goto,1052809,1997-07-16,Nara Club,4094,Nara Club - Tokushima Vorti,2052894,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Attacking Midfield,Midfield,74.33,27.3,23.85,46.18,14.93,16.27,28.15,12.37,7.58,TRUE,10277.0,138.26,1911.0,620.0,55.0,135.0,5.0,755.0,60.0,27.9,121.0,7.0,109.0,17.0,4.0,1.0,1.0,0.0,,,44.0,2.23,3.18,4075.0,149.27,815.0,213.0,18.0,30.0,1.0,243.0,19.0,44.0,3.0,40.0,4.0,0.0,0.0,19.0,4289.0,179.83,989.0,356.0,32.0,89.0,3.0,445.0,35.0,45.0,2.0,36.0,6.0,2.0,0.0,23.0,6526.0,141.32,1229.0,419.0,37.0,73.0,2.0,492.0,39.0,81.0,3.0,68.0,12.0,3.0,0.0,28.0,2261.0,151.44,444.0,121.0,11.0,26.0,1.0,147.0,12.0,26.0,1.0,23.0,2.0,0.0,0.0,9.0,2902.0,178.37,715.0,267.0,23.0,47.0,1.0,314.0,24.0,32.0,1.0,25.0,5.0,1.0,0.0,18.0,3751.0,133.25,682.0,201.0,18.0,62.0,3.0,263.0,21.0,40.0,4.0,41.0,5.0,1.0,0.0,16.0,1814.0,146.65,371.0,92.0,7.0,4.0,0.0,96.0,7.0,18.0,2.0,17.0,2.0,0.0,0.0,10.0,1387.0,182.98,274.0,89.0,9.0,42.0,2.0,131.0,11.0,13.0,1.0,11.0,1.0,1.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taisei Ishii,T. Ishii,1052810,2003-12-29,Nara Club,4094,Nara Club - Tokushima Vorti,2052894,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Center Back,Central Defender,95.4,36.82,27.53,46.18,14.93,16.27,49.22,21.88,11.27,TRUE,11087.0,116.22,1343.0,678.0,54.0,179.0,10.0,857.0,64.0,28.8,119.0,8.0,100.0,17.0,5.0,0.79,0.79,1.0,1.52,,40.0,2.15,3.05,4191.0,113.82,315.0,59.0,7.0,8.0,2.0,67.0,9.0,36.0,2.0,36.0,2.0,2.0,0.0,9.0,4549.0,165.24,873.0,568.0,42.0,151.0,8.0,719.0,50.0,50.0,3.0,35.0,9.0,2.0,0.0,29.0,5378.0,116.46,667.0,274.0,25.0,81.0,4.0,355.0,29.0,58.0,6.0,53.0,9.0,3.0,1.0,22.0,1711.0,114.6,117.0,16.0,2.0,2.0,1.0,18.0,3.0,15.0,1.0,14.0,1.0,1.0,0.0,4.0,2542.0,156.24,468.0,233.0,19.0,79.0,3.0,312.0,22.0,26.0,2.0,23.0,5.0,1.0,0.0,16.0,5709.0,115.99,676.0,404.0,29.0,98.0,6.0,502.0,35.0,61.0,2.0,47.0,8.0,2.0,0.0,18.0,2480.0,113.35,198.0,43.0,5.0,6.0,1.0,49.0,6.0,21.0,1.0,22.0,1.0,0.0,0.0,5.0,2007.0,178.08,405.0,335.0,23.0,72.0,5.0,407.0,28.0,24.0,1.0,12.0,4.0,1.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thonny Anderson Da Silva Carvalho,Thonny Anderson,24846,1997-12-27,Tokushima Vortis,3377,Nara Club - Tokushima Vorti,2052894,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Center Forward,Center Forward,66.17,21.72,23.05,46.18,16.27,14.93,19.98,5.45,8.12,TRUE,8009.0,121.04,908.0,370.0,42.0,139.0,7.0,509.0,49.0,29.3,65.0,9.0,55.0,8.0,6.0,0.6,,2.0,1.28,,34.0,1.88,2.77,3167.0,145.81,427.0,196.0,18.0,54.0,5.0,250.0,23.0,30.0,2.0,23.0,2.0,2.0,1.0,8.0,3123.0,135.49,432.0,157.0,19.0,23.0,2.0,180.0,21.0,21.0,5.0,19.0,4.0,3.0,1.0,24.0,5560.0,120.4,655.0,282.0,30.0,111.0,6.0,393.0,36.0,47.0,7.0,40.0,7.0,5.0,1.0,23.0,2354.0,144.68,339.0,163.0,14.0,54.0,4.0,217.0,18.0,23.0,1.0,19.0,2.0,1.0,1.0,6.0,2010.0,134.63,268.0,102.0,12.0,17.0,2.0,119.0,14.0,10.0,4.0,10.0,4.0,2.0,0.0,15.0,2449.0,122.57,253.0,88.0,12.0,28.0,1.0,116.0,13.0,18.0,2.0,15.0,1.0,1.0,1.0,11.0,813.0,149.17,88.0,33.0,4.0,0.0,1.0,33.0,5.0,7.0,1.0,4.0,0.0,0.0,0.0,2.0,1113.0,137.07,164.0,55.0,7.0,6.0,0.0,61.0,7.0,11.0,1.0,9.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
